wl,Al_n,Al_k
8.86,20.873101,78.340597
8.87,20.909201,78.407195
8.88,20.945302,78.473792
8.89,20.981403,78.540389
8.90,21.017503,78.606987
8.91,21.053604,78.673584
8.92,21.089705,78.740181
8.93,21.125805,78.806779
8.94,21.161906,78.873376
8.95,21.198007,78.939973
8.96,21.234107,79.006570
8.97,21.270208,79.073168
8.98,21.306309,79.139765
8.99,21.342409,79.206362
9.00,21.378510,79.272960
9.01,21.414611,79.339557
9.02,21.450711,79.406154
9.03,21.486812,79.472752
9.04,21.522913,79.539349
9.05,21.559013,79.605946
9.06,21.595114,79.672544
9.07,21.631215,79.739141
9.08,21.667315,79.805738
9.09,21.703416,79.872336
9.10,21.739517,79.938933
9.11,21.775617,80.005530
9.12,21.811718,80.072128
9.13,21.847819,80.138725
9.14,21.883919,80.205322
9.15,21.920020,80.271919
9.16,21.956121,80.338517
9.17,21.992221,80.405114
9.18,22.028322,80.471711
9.19,22.064423,80.538309
9.20,22.100523,80.604906
9.21,22.136624,80.671503
9.22,22.172725,80.738101
9.23,22.208826,80.804698
9.24,22.244926,80.871295
9.25,22.281027,80.937893
9.26,22.317128,81.004490
9.27,22.353228,81.071087
9.28,22.389329,81.137685
9.29,22.425430,81.204282
9.30,22.461530,81.270879
9.31,22.497631,81.337477
9.32,22.533732,81.404074
9.33,22.569832,81.470671
9.34,22.605933,81.537268
9.35,22.642034,81.603866
9.36,22.678134,81.670463
9.37,22.714235,81.737060
9.38,22.750336,81.803658
9.39,22.786436,81.870255
9.40,22.822537,81.936852
9.41,22.858638,82.003450
9.42,22.894738,82.070047
9.43,22.930839,82.136644
9.44,22.966940,82.203242
9.45,23.003040,82.269839
9.46,23.039141,82.336436
9.47,23.075242,82.403034
9.48,23.111342,82.469631
9.49,23.147443,82.536228
9.50,23.183544,82.602826
9.51,23.219644,82.669423
9.52,23.255745,82.736020
9.53,23.291846,82.802617
9.54,23.327946,82.869215
9.55,23.364047,82.935812
9.56,23.400148,83.002409
9.57,23.436248,83.069007
9.58,23.472349,83.135604
9.59,23.508450,83.202201
9.60,23.544550,83.268799
9.61,23.580651,83.335396
9.62,23.616752,83.401993
9.63,23.652852,83.468591
9.64,23.688953,83.535188
9.65,23.725054,83.601785
9.66,23.761154,83.668383
9.67,23.797255,83.734980
9.68,23.833356,83.801577
9.69,23.869456,83.868174
9.70,23.905557,83.934772
9.71,23.941658,84.001369
9.72,23.977758,84.067966
9.73,24.013859,84.134564
9.74,24.049960,84.201161
9.75,24.086060,84.267758
9.76,24.122161,84.334356
9.77,24.158262,84.400953
9.78,24.194362,84.467550
9.79,24.230463,84.534148
9.80,24.266564,84.600745
9.81,24.302664,84.667342
9.82,24.338765,84.733940
9.83,24.374866,84.800537
9.84,24.410966,84.867134
9.85,24.447067,84.933732
9.86,24.483168,85.000329
9.87,24.519268,85.066926
9.88,24.555369,85.133523
9.89,24.591470,85.200121
9.90,24.627570,85.266718
9.91,24.663671,85.333315
9.92,24.699772,85.399913
9.93,24.735872,85.466510
9.94,24.771973,85.533107
9.95,24.808074,85.599705
9.96,24.844174,85.666302
9.97,24.880275,85.732899
9.98,24.916376,85.799497
9.99,24.952477,85.866094
10.00,24.988577,85.932691
10.01,25.024678,85.999289
10.02,25.060779,86.065886
10.03,25.096879,86.132483
10.04,25.132980,86.199081
10.05,25.169081,86.265678
10.06,25.205181,86.332275
10.07,25.241282,86.398872
10.08,25.277383,86.465470
10.09,25.313483,86.532067
10.10,25.349584,86.598664
10.11,25.385685,86.665262
10.12,25.421785,86.731859
10.13,25.457886,86.798456
10.14,25.493987,86.865054
10.15,25.530087,86.931651
10.16,25.566188,86.998248
10.17,25.602289,87.064846
10.18,25.638389,87.131443
10.19,25.674490,87.198040
10.20,25.710591,87.264638
10.21,25.746691,87.331235
10.22,25.782792,87.397832
10.23,25.818893,87.464430
10.24,25.854993,87.531027
10.25,25.891094,87.597624
10.26,25.927195,87.664221
